Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
2099,the bouncer,PS2,2000.0,action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99
2103,shadow the hedgehog,GC,2005.0,platform,Sega,0.76,0.2,0.0,0.03,0.99
2104,farming simulator 2013,PC,2012.0,simulation,Focus Home Interactive,0.0,0.8,0.0,0.18,0.99
2109,xenoblade chronicles,WII,2010.0,role-playing,Nintendo,0.49,0.26,0.16,0.08,0.98
2111,mario party advance,GBA,2005.0,misc,Nintendo,0.5,0.19,0.28,0.02,0.98
2113,tetris 2,NES,1993.0,puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98
2115,air-sea battle,2600,,shooter,Atari,0.91,0.06,0.0,0.01,0.98
2116,suikoden iii,PS2,,role-playing,Unknown,0.29,0.23,0.38,0.08,0.98
2117,kingdom hearts re:coded,DS,2010.0,role-playing,Square Enix,0.56,0.1,0.27,0.05,0.98
2118,south park: the stick of truth,PS3,2014.0,role-playing,Ubisoft,0.42,0.38,0.0,0.17,0.98
2119,driver: san francisco,PS3,2011.0,racing,Ubisoft,0.24,0.54,0.01,0.18,0.98
2120,sniper elite v2,PS3,2012.0,shooter,505 Games,0.38,0.39,0.06,0.15,0.98
2124,pro evolution soccer 2014,PS3,2013.0,action,Konami Digital Entertainment,0.03,0.43,0.51,0.01,0.98
2127,brutal legend,X360,2009.0,action,Electronic Arts,0.62,0.27,0.0,0.09,0.98
2128,tamagotchi connection: corner shop 2,DS,2006.0,simulation,Namco Bandai Games,0.09,0.02,0.86,0.01,0.98
2129,final fantasy type-0,PS4,2015.0,role-playing,Square Enix,0.37,0.32,0.15,0.14,0.97
2131,de blob,WII,2008.0,platform,THQ,0.5,0.37,0.0,0.1,0.97
2134,nba 2k10,X360,2009.0,sports,Take-Two Interactive,0.88,0.02,0.0,0.08,0.97
2135,fire emblem,GBA,2003.0,strategy,Nintendo,0.49,0.18,0.29,0.01,0.97
2136,yakuza 4,PS3,,action,Sega,0.15,0.14,0.63,0.05,0.97
2138,club penguin: game day!,WII,2010.0,sports,Disney Interactive Studios,0.56,0.33,0.0,0.08,0.97
2139,nhl 2004,PS2,2003.0,sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97
2144,romancing saga,SNES,1992.0,role-playing,SquareSoft,0.0,0.0,0.97,0.0,0.97
2145,donkey kong junior,2600,1981.0,platform,Atari,0.9,0.05,0.0,0.01,0.97
2149,medal of honor: underground,PS,2000.0,shooter,Electronic Arts,0.54,0.37,0.0,0.06,0.97
2151,dark cloud 2,PS2,2002.0,role-playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96
2152,jampack summer '99,PS,1999.0,misc,Sony Computer Entertainment,0.54,0.36,0.0,0.06,0.96
2153,playstation all-stars battle royale,PS3,2012.0,action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96
2154,dance dance revolution 2nd remix,PS,1999.0,simulation,Konami Digital Entertainment,0.0,0.0,0.9,0.06,0.96
2155,monster high: ghoul spirit,DS,2011.0,misc,THQ,0.72,0.17,0.0,0.07,0.96
2156,dragon quest x,WII,2012.0,role-playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2158,gangs of london,PSP,2006.0,adventure,Sony Computer Entertainment,0.3,0.44,0.0,0.22,0.96
2160,star soldier,NES,1986.0,shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
2162,lost planet 2,PS3,2010.0,shooter,Capcom,0.29,0.34,0.2,0.13,0.96
2163,nhl 2001,PS2,2000.0,sports,Electronic Arts,0.47,0.37,0.0,0.12,0.96
2164,dragon quest monsters: terry's wonderland 3d,3DS,2012.0,role-playing,Square Enix,0.0,0.0,0.96,0.0,0.96
2165,my weight loss coach,DS,2008.0,sports,Ubisoft,0.3,0.54,0.0,0.11,0.96
2167,mega man star force dragon / leo / pegasus,DS,2006.0,action,Capcom,0.39,0.0,0.53,0.03,0.96
2168,shinobi,PS2,2002.0,platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96
2170,the witcher 2: assassins of kings,PC,2011.0,action,Namco Bandai Games,0.25,0.56,0.0,0.15,0.96
2171,pilotwings resort,3DS,2011.0,simulation,Nintendo,0.4,0.36,0.13,0.07,0.96
2172,naruto shippuden: ultimate ninja storm 3,PS3,2013.0,fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96
2173,lego jurassic world,X360,2015.0,action,Warner Bros. Interactive Entertainment,0.47,0.4,0.0,0.08,0.95
2176,world championship poker,PS2,2004.0,misc,Play It,0.8,0.03,0.0,0.13,0.95
2180,ben 10: alien force,DS,2008.0,action,Koch Media,0.65,0.22,0.0,0.09,0.95
2183,wild arms,PS,1996.0,role-playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
2184,kessen,PS2,2000.0,strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95
2185,yu-gi-oh! worldwide edition: stairway to the destined duel,GBA,2003.0,misc,Konami Digital Entertainment,0.68,0.25,0.0,0.02,0.95
2186,ncaa football 2000,PS,1999.0,sports,Electronic Arts,0.53,0.36,0.0,0.06,0.95
2189,guitar hero: metallica,WII,2009.0,misc,Activision,0.41,0.43,0.0,0.1,0.95
2190,evolve,PS4,2015.0,shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
2192,army of two: the 40th day,X360,2010.0,shooter,Electronic Arts,0.62,0.24,0.0,0.08,0.95
2193,tony hawk: ride,WII,2009.0,sports,Activision,0.7,0.17,0.0,0.08,0.95
2194,lego batman 3: beyond gotham,X360,2014.0,action,Warner Bros. Interactive Entertainment,0.48,0.38,0.0,0.08,0.95
2195,wii play: motion,WII,2011.0,misc,Nintendo,0.24,0.43,0.18,0.09,0.95
2196,killzone,PS2,2004.0,shooter,Sony Computer Entertainment,0.79,0.03,0.0,0.13,0.94
2197,the tomb raider trilogy,PS3,2011.0,action,Square Enix,0.27,0.5,0.0,0.17,0.94
2198,colin mcrae rally 04,PS2,2003.0,racing,Codemasters,0.01,0.71,0.01,0.21,0.94
2199,star fox 64 3d,3DS,2011.0,shooter,Nintendo,0.48,0.27,0.13,0.07,0.94
2202,midway presents arcade's greatest hits: the atari collection 1,PS,1996.0,misc,GT Interactive,0.52,0.36,0.0,0.06,0.94
2205,castlevania: lament of innocence,PS2,2003.0,action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94
2206,mario tennis open,3DS,2012.0,sports,Nintendo,0.26,0.29,0.33,0.05,0.94
2209,destroy all humans!,PS2,2005.0,shooter,THQ,0.78,0.03,0.0,0.13,0.94
2211,saga frontier 2,PS,1999.0,role-playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
2212,ncaa football 10,X360,2009.0,sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94
2213,mlb 2000,PS,1999.0,sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94
2214,the legend of zelda: twilight princess hd,WIIU,2016.0,action,Nintendo,0.48,0.3,0.08,0.08,0.94
2215,bully,PS2,2006.0,action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94
2217,phantasy star portable,PSP,2008.0,role-playing,Sega,0.19,0.06,0.63,0.05,0.94
2218,hot shots golf fore!,PS2,2003.0,sports,Sony Computer Entertainment,0.46,0.36,0.0,0.12,0.94
2219,mlb 06: the show,PS2,2006.0,sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94
2220,nhl 2003,PS2,2002.0,sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93
2221,operation flashpoint: dragon rising,X360,2009.0,shooter,Codemasters,0.36,0.45,0.02,0.1,0.93
2222,nickelodeon fit,WII,2010.0,sports,Take-Two Interactive,0.78,0.09,0.0,0.06,0.93
2223,buzz! quiz world,PS3,2009.0,misc,Sony Computer Entertainment,0.16,0.58,0.0,0.2,0.93
2224,bentley's hackpack,GBA,2005.0,misc,Unknown,0.67,0.25,0.0,0.02,0.93
2227,ea sports grand slam tennis,WII,2009.0,sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93
2228,white knight chronicles: international edition,PS3,2008.0,role-playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93
2230,sonic riders: zero gravity,WII,2008.0,racing,Sega,0.5,0.32,0.02,0.1,0.93
2232,build-a-bear workshop,DS,2007.0,simulation,Game Factory,0.85,0.01,0.0,0.07,0.93
2233,crash city mayhem,GBA,2004.0,racing,THQ,0.67,0.25,0.0,0.02,0.93
2235,mega man 4,NES,1991.0,platform,Capcom,0.51,0.09,0.32,0.01,0.93
2236,castlevania ii: simon's quest,NES,1987.0,platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93
2239,mlb 07: the show,PS2,2007.0,sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93
2242,brothers in arms: hell's highway,PS3,2008.0,shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93
2243,inazuma eleven 3,DS,2010.0,role-playing,Level 5,0.0,0.0,0.93,0.0,0.93
2244,pokken tournament,WIIU,2016.0,fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
2245,snocross championship racing,PS,1999.0,racing,Ubisoft,0.52,0.35,0.0,0.06,0.93
2247,top gun: combat zones,PS2,2001.0,simulation,Titus,0.45,0.35,0.0,0.12,0.92
2248,blue dragon,X360,2006.0,role-playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92
2250,ncaa football 11,X360,2010.0,sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92
2251,nhl 98,PS,1997.0,sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92
2254,spongebob squarepants: the yellow avenger,PSP,2006.0,action,THQ,0.55,0.21,0.0,0.16,0.92
2257,wipeout: in the zone,X360,2011.0,misc,Activision,0.87,0.0,0.0,0.05,0.92
2258,space jam,PS,1996.0,sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92
2261,balloon fight,NES,1985.0,platform,Nintendo,0.39,0.09,0.43,0.01,0.92
2263,disney magical world,3DS,2013.0,adventure,Nintendo,0.16,0.2,0.53,0.03,0.92
2264,crysis 3,X360,2013.0,shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92
2266,dynasty warriors 7,PS3,2011.0,action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92
2268,mlb 12: the show,PS3,2012.0,sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92
2269,sonic riders,GC,2006.0,racing,Sega,0.71,0.18,0.0,0.03,0.92
2270,starsky & hutch,PS2,2003.0,racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92
2271,tobal no.1,PS,1996.0,fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
2272,lost odyssey,X360,2007.0,role-playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92
2273,mlb 15: the show,PS4,2015.0,sports,Sony Computer Entertainment,0.67,0.08,0.0,0.17,0.92
2276,amf bowling pinbusters!,WII,2007.0,sports,Bethesda Softworks,0.85,0.0,0.0,0.07,0.91
2277,street hoops,PS2,2002.0,sports,Activision,0.45,0.35,0.0,0.12,0.91
2278,avatar: the game,PS3,2009.0,action,Ubisoft,0.32,0.43,0.0,0.16,0.91
2279,harvest moon 3d: a new beginning,3DS,2012.0,action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91
2280,tom clancy's endwar,X360,2008.0,strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91
2281,knockout kings 2002,PS2,2002.0,sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91
2282,tokyo xtreme racer 3,PS2,2003.0,racing,Genki,0.35,0.27,0.21,0.09,0.91
2284,colin mcrae rally 2.0,PS,2000.0,racing,Codemasters,0.02,0.8,0.02,0.07,0.91
2285,glover,N64,1998.0,platform,Hasbro Interactive,0.72,0.17,0.0,0.01,0.91
2286,mx vs. atv reflex,PS3,2009.0,racing,THQ,0.52,0.26,0.0,0.12,0.91
2287,minecraft: story mode,X360,2015.0,adventure,Mojang,0.46,0.38,0.0,0.08,0.91
2289,marvel: ultimate alliance 2,X360,2009.0,role-playing,Activision,0.68,0.15,0.0,0.08,0.91
2291,super momotarou dentetsu iii,SNES,1994.0,simulation,Hudson Soft,0.0,0.0,0.91,0.0,0.91
2296,tiger woods pga tour 2002,PS2,2002.0,sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9
2298,mini-yonku shining scorpion: let's & go!!,SNES,1996.0,racing,ASCII Entertainment,0.0,0.0,0.9,0.0,0.9
2299,mlb 2005,PS2,2004.0,sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9
2300,socom 4: u.s. navy seals,PS3,2011.0,shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9
2301,burnout revenge,PS2,2005.0,racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9
2302,buzz! quiz tv,PS3,2008.0,misc,Sony Computer Entertainment,0.28,0.48,0.0,0.14,0.9
2303,we ski & snowboard,WII,2008.0,sports,Atari,0.38,0.29,0.15,0.08,0.9
2304,destruction derby,PS,1995.0,racing,Psygnosis,0.5,0.34,0.0,0.06,0.9
2305,touchmaster 2,DS,2008.0,puzzle,Midway Games,0.3,0.49,0.0,0.1,0.9
2307,3xtreme,PS,1999.0,action,989 Studios,0.5,0.34,0.0,0.06,0.9
2308,hot shots tennis,PS2,2006.0,sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9
2310,resistance: retribution,PSP,2009.0,shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9
2311,tiger woods pga tour 12: the masters,PS3,2011.0,sports,Electronic Arts,0.52,0.26,0.0,0.12,0.9
2314,spider-man 3,PS2,2007.0,platform,Activision,0.74,0.03,0.01,0.12,0.9
2316,samba de amigo,WII,2008.0,misc,Sega,0.42,0.37,0.01,0.1,0.9
2319,fifa soccer 09 all-play,WII,2008.0,sports,Electronic Arts,0.29,0.52,0.0,0.09,0.9
2320,fossil fighters,DS,2008.0,role-playing,Nintendo,0.84,0.0,0.0,0.06,0.9
2321,littlebigplanet karting,PS3,2012.0,action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9
2324,harry potter: quidditch world cup,PS2,2003.0,sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9
2325,the biggest loser: ultimate workout,X360,2010.0,sports,THQ,0.73,0.1,0.0,0.06,0.9
2327,call of juarez: bound in blood,PS3,2009.0,shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89
2328,killzone: liberation,PSP,2006.0,shooter,Sony Computer Entertainment,0.44,0.28,0.0,0.18,0.89
2330,blitz: the league,PS2,2005.0,sports,Unknown,0.74,0.03,0.0,0.12,0.89
2332,castlevania: circle of the moon,GBA,2001.0,platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89
2333,sonic chronicles: the dark brotherhood,DS,2008.0,role-playing,Sega,0.51,0.29,0.01,0.09,0.89
2334,tiger woods pga tour 06,PS2,2005.0,sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89
2335,classic nes series: the legend of zelda,GBA,2004.0,adventure,Nintendo,0.46,0.17,0.24,0.02,0.89
2336,the jak and daxter collection,PS3,2012.0,platform,Sony Computer Entertainment,0.6,0.19,0.0,0.1,0.89
2337,fire emblem: the sacred stones,GBA,2004.0,strategy,Nintendo,0.42,0.16,0.3,0.02,0.89
2338,pokemon card gb2: here comes team gr!,GB,2001.0,strategy,Nintendo,0.0,0.0,0.89,0.0,0.89
2340,csi: hard evidence,WII,2008.0,adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89
2341,ace combat 2,PS,1997.0,simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
2342,f1 2009,WII,2009.0,racing,Codemasters,0.15,0.63,0.0,0.11,0.89
2343,nfl 2k2,PS2,2001.0,sports,Sega,0.44,0.34,0.0,0.11,0.89
2344,ea sports ufc 2,PS4,2016.0,sports,Electronic Arts,0.28,0.47,0.0,0.14,0.89
2345,dissidia 012: duodecim final fantasy,PSP,2011.0,fighting,Square Enix,0.21,0.13,0.46,0.08,0.89
2348,monster 4x4: world circuit,WII,2006.0,racing,Ubisoft,0.81,0.0,0.01,0.07,0.89
2350,wii fit u,WIIU,2013.0,sports,Nintendo,0.39,0.24,0.21,0.06,0.89
2351,kingdoms of amalur: reckoning,X360,2012.0,role-playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89
2353,mlb 2001,PS,2000.0,sports,Sony Computer Entertainment,0.49,0.34,0.0,0.06,0.89
2354,singstar anthems,PS2,2006.0,misc,Sony Computer Entertainment,0.0,0.68,0.0,0.2,0.89
2355,seiken densetsu 3,SNES,1995.0,role-playing,SquareSoft,0.0,0.0,0.89,0.0,0.89
2356,mega man 8 anniversary collector's edition,PS,1996.0,platform,Capcom,0.44,0.3,0.09,0.06,0.88
2360,peppa pig: the game,DS,2008.0,misc,Pinnacle,0.0,0.82,0.0,0.06,0.88
2362,ghostbusters: the video game,WII,2009.0,action,Atari,0.6,0.21,0.0,0.08,0.88
2363,rock band 3,X360,2010.0,misc,MTV Games,0.73,0.1,0.0,0.06,0.88
2364,resident evil: revelations,3DS,2012.0,action,Capcom,0.3,0.22,0.3,0.05,0.88
2365,nba 2k6,PS2,2005.0,action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88
2366,buzz! the mega quiz,PS2,2007.0,misc,Sony Computer Entertainment,0.32,0.06,0.0,0.5,0.88
2367,endless ocean: blue world,WII,2009.0,simulation,Nintendo,0.47,0.22,0.12,0.07,0.88
2368,star wars: rebel assault ii - the hidden empire,PS,1996.0,shooter,CTO SpA,0.49,0.33,0.0,0.06,0.88
2370,metal gear ac!d,PSP,2004.0,strategy,Konami Digital Entertainment,0.32,0.26,0.12,0.17,0.88
2371,cooking mama: world kitchen,WII,2008.0,simulation,505 Games,0.51,0.28,0.01,0.08,0.88
2372,tekken tag tournament 2,PS3,2012.0,fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88
2373,espn nhl 2k5,PS2,2004.0,sports,Global Star,0.43,0.33,0.0,0.11,0.88
2375,phantasy star portable 2,PSP,2009.0,role-playing,Sega,0.08,0.11,0.62,0.06,0.88
2376,crimson skies: high road to revenge,XB,2003.0,simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.87
2377,spec ops: ranger elite,PS,2001.0,shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87
2378,gex,PS,1995.0,platform,Crystal Dynamics,0.49,0.33,0.0,0.06,0.87
2381,derby stallion ii,SNES,1994.0,sports,ASCII Entertainment,0.0,0.0,0.87,0.0,0.87
2382,gold's gym: dance workout,WII,2010.0,sports,Ubisoft,0.71,0.11,0.0,0.06,0.87
2383,red faction: guerrilla,X360,2009.0,shooter,THQ,0.48,0.29,0.01,0.09,0.87
2384,tom clancy's ghost recon: island thunder,XB,2003.0,shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87
2386,need for speed: v-rally,PS,1997.0,racing,Infogrames,0.43,0.29,0.09,0.06,0.87
2387,kingdom hearts re: chain of memories,PS2,2008.0,role-playing,Square Enix,0.73,0.03,0.0,0.12,0.87
2388,pictionary,WII,2010.0,puzzle,THQ,0.61,0.19,0.0,0.07,0.87
2391,nfl gameday '97,PS,1996.0,sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.87
2392,beijing 2008,PS3,2008.0,sports,Sega,0.14,0.54,0.01,0.18,0.87
2393,the house of the dead: overkill,WII,2009.0,shooter,Sega,0.46,0.31,0.02,0.09,0.87
2394,tony hawk's project 8,PS2,2006.0,sports,Activision,0.72,0.03,0.0,0.12,0.87
2396,nhl 2000,PS,1998.0,sports,Electronic Arts,0.48,0.33,0.0,0.06,0.87
2397,buzz! master quiz,PSP,2008.0,misc,Sony Computer Entertainment,0.2,0.44,0.0,0.23,0.87
2399,fight night round 2,PS2,2005.0,fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87
2400,wizards of waverly place,DS,2009.0,misc,Disney Interactive Studios,0.59,0.2,0.0,0.08,0.87
2403,triple play 2002,PS2,2002.0,sports,Electronic Arts,0.43,0.33,0.0,0.11,0.87
2404,vagrant story,PS,2000.0,role-playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
2405,lemmings,PSP,2006.0,puzzle,Sony Computer Entertainment,0.12,0.52,0.0,0.23,0.87
2406,warriors orochi,PS2,2007.0,action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87
2408,enduro,2600,1982.0,misc,Quelle,0.81,0.05,0.0,0.01,0.87
2409,tales of xillia 2,PS3,2012.0,role-playing,Namco Bandai Games,0.2,0.15,0.45,0.07,0.87
2410,singstar '90s,PS2,2007.0,misc,Sony Computer Entertainment,0.1,0.59,0.0,0.18,0.87
2411,monster strike 3ds,3DS,2015.0,action,"mixi, Inc",0.0,0.0,0.86,0.0,0.86
2412,tomb raider: anniversary,WII,2007.0,action,Eidos Interactive,0.12,0.63,0.0,0.11,0.86
2414,darksiders ii,PS3,2012.0,action,THQ,0.35,0.37,0.01,0.14,0.86
2416,the world ends with you,DS,2007.0,role-playing,Square Enix,0.54,0.06,0.21,0.05,0.86
2417,the lord of the rings: war in the north,PS3,,action,Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
2418,rocky,PS2,2002.0,fighting,Rage Software,0.42,0.33,0.0,0.11,0.86
2420,ford racing,PS,2001.0,racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86
2421,madden football 64,N64,1997.0,sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86
2422,mlb 99,PS,1998.0,sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86
2423,dragon ball z: burst limit,PS3,2008.0,fighting,Atari,0.22,0.34,0.18,0.12,0.86
2425,the legendary starfy,DS,2008.0,platform,Nintendo,0.61,0.0,0.2,0.05,0.86
2427,dynasty warriors 4: xtreme legends,PS2,2003.0,action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86
2428,ninja gaiden sigma 2,PS3,2009.0,action,Ubisoft Annecy,0.52,0.16,0.08,0.1,0.86
2432,army men: air attack,PS,1999.0,action,3DO,0.47,0.32,0.0,0.06,0.85
2433,need for speed: nitro,WII,2009.0,racing,Electronic Arts,0.46,0.31,0.0,0.08,0.85
2434,madden nfl 09 all-play,WII,2008.0,sports,Electronic Arts,0.78,0.01,0.0,0.07,0.85
2435,nba 2k8,X360,2007.0,sports,Take-Two Interactive,0.79,0.0,0.0,0.07,0.85
2437,street fighter alpha 2,PS,1996.0,fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85
2440,blazing angels: squadrons of wwii,WII,2007.0,simulation,Ubisoft,0.74,0.04,0.0,0.06,0.85
2441,castlevania iii: dracula's curse,NES,1989.0,platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
2442,harry potter and the order of the phoenix,DS,2007.0,action,Electronic Arts,0.28,0.47,0.0,0.1,0.85
2443,rampage world tour,PS,1997.0,action,GT Interactive,0.47,0.32,0.0,0.06,0.85
2444,burnout legends,PSP,2005.0,racing,Electronic Arts,0.7,0.06,0.0,0.09,0.85
2448,nfl gameday,PS,1995.0,sports,Sony Computer Entertainment,0.47,0.32,0.0,0.06,0.85
2449,burnout 2: point of impact,PS2,2002.0,racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85
2450,kirby: planet robobot,3DS,2016.0,action,Nintendo,0.26,0.1,0.44,0.04,0.85
2451,street fighter ex3,PS2,2000.0,fighting,Virgin Interactive,0.32,0.25,0.2,0.08,0.85
2452,karaoke revolution glee,WII,2010.0,misc,Konami Digital Entertainment,0.52,0.25,0.0,0.07,0.85
2454,thief (2014),PS4,2014.0,action,Square Enix,0.28,0.37,0.03,0.16,0.84
2456,golden sun: dark dawn,DS,2010.0,role-playing,Nintendo,0.56,0.11,0.13,0.05,0.84
2457,tiger woods pga tour 11,PS3,2010.0,sports,Electronic Arts,0.37,0.34,0.0,0.13,0.84
2458,devil may cry hd collection,PS3,2012.0,action,Capcom,0.42,0.21,0.11,0.1,0.84
2459,mlb 16: the show,PS4,2016.0,action,Sony Computer Entertainment,0.68,0.0,0.0,0.16,0.84
2461,xenoblade chronicles x,WIIU,2015.0,role-playing,Nintendo,0.36,0.28,0.14,0.06,0.84
2462,petz dogz fashion,DS,2008.0,simulation,Ubisoft,0.46,0.3,0.0,0.09,0.84
2466,atv quad power racing 2,PS2,2003.0,racing,Acclaim Entertainment,0.41,0.32,0.0,0.11,0.84
2467,harvest moon: tree of tranquility,WII,2007.0,simulation,Rising Star Games,0.69,0.03,0.06,0.06,0.84
2468,final fantasy,NES,1987.0,role-playing,SquareSoft,0.32,0.0,0.52,0.0,0.84
2469,street fighter x tekken,PS3,2012.0,fighting,Capcom,0.42,0.22,0.1,0.1,0.84
2470,rocket power: team rocket rescue,PS,2001.0,sports,THQ,0.47,0.32,0.0,0.05,0.84
2471,duke nukem forever,X360,2011.0,shooter,Take-Two Interactive,0.52,0.25,0.0,0.07,0.84
2472,big mutha truckers,PS2,2002.0,racing,Empire Interactive,0.41,0.32,0.0,0.11,0.84
2473,borderlands: the handsome collection,PS4,2015.0,shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
2474,rogue galaxy,PS2,2005.0,role-playing,Sony Computer Entertainment,0.24,0.16,0.39,0.05,0.84
2475,espn college hoops 2k5,PS2,2004.0,sports,Sega,0.41,0.32,0.0,0.11,0.84
2476,metroid: zero mission,GBA,2004.0,adventure,Nintendo,0.6,0.22,0.0,0.01,0.84
2478,time crisis 4,PS3,2007.0,shooter,Namco Bandai Games,0.32,0.33,0.05,0.14,0.84
2481,q*bert,PS,1999.0,puzzle,Atari,0.46,0.32,0.0,0.05,0.84
2483,ace combat 3: electrosphere,PS,1999.0,simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
2484,dynasty warriors 2,PS2,2000.0,action,THQ,0.24,0.19,0.34,0.06,0.83
2485,battle of giants: dinosaurs,DS,2008.0,strategy,Ubisoft,0.38,0.37,0.0,0.09,0.83
2487,lizzie mcguire 2: lizzie diaries,GBA,2004.0,action,Disney Interactive Studios,0.6,0.22,0.0,0.01,0.83
2489,fifa soccer world championship,PS2,2000.0,sports,Electronic Arts,0.27,0.21,0.28,0.07,0.83
2490,brute force,XB,2003.0,shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83
2491,dance central 3,X360,2012.0,misc,Microsoft Game Studios,0.57,0.2,0.0,0.06,0.83
2492,yu-gi-oh! dark duel stories,GB,2000.0,misc,Konami Digital Entertainment,0.0,0.0,0.83,0.0,0.83
2493,the game of life,PS,1998.0,misc,Unknown,0.46,0.31,0.0,0.05,0.83
2494,mega man legends,PS,1997.0,adventure,Capcom,0.39,0.26,0.12,0.05,0.83
2496,sly 3: honor among thieves,PS2,2005.0,platform,Sony Computer Entertainment,0.69,0.03,0.0,0.11,0.83
2497,the price is right,WII,2008.0,misc,Ubisoft,0.77,0.0,0.0,0.06,0.83
2498,sid meier's civilization revolution,X360,2008.0,strategy,Take-Two Interactive,0.58,0.17,0.0,0.07,0.83
2499,mlb slugfest 20-03,PS2,,sports,Unknown,0.41,0.32,0.0,0.11,0.83
2500,i spy: fun house,DS,2007.0,puzzle,Scholastic Inc.,0.77,0.0,0.0,0.06,0.83
2501,the amazing spider-man (console version),PS3,2012.0,action,Activision,0.31,0.37,0.0,0.14,0.83
2502,dragon ball: raging blast 2,PS3,2010.0,fighting,Namco Bandai Games,0.42,0.2,0.11,0.09,0.83
2503,medievil,PS,1998.0,platform,Sony Computer Entertainment,0.46,0.31,0.0,0.05,0.83
2504,casper,PS,1996.0,adventure,Interplay,0.46,0.31,0.0,0.05,0.83
